Alabama,2020-11-28,244993,3572
Alabama,2020-11-27,242874,3572
Alabama,2020-11-26,241957,3572
Alabama,2020-11-25,239318,3532
Alabama,2020-11-24,236865,3472
Alabama,2020-11-23,234080,3459
Alabama,2020-11-22,232506,3457
Alabama,2020-11-21,230708,3457
Alabama,2020-11-20,228373,3451
Alabama,2020-11-19,225910,3419
Alabama,2020-11-18,223486,3347
Alabama,2020-11-17,220848,3301
Alabama,2020-11-16,219232,3249
Alabama,2020-11-15,217822,3248
Alabama,2020-11-14,215843,3246
Alabama,2020-11-13,213617,3231
Alabama,2020-11-12,210637,3213
Alabama,2020-11-11,208637,3201
Alabama,2020-11-10,206562,3120
Alabama,2020-11-09,206523,3084
Alabama,2020-11-08,204665,3084
Alabama,2020-11-07,203518,3082
Alabama,2020-11-06,202131,3049
Alabama,2020-11-05,200528,3026
Alabama,2020-11-04,198927,3006
Alabama,2020-11-03,197504,2987
Alabama,2020-11-02,195692,2973
Alabama,2020-11-01,194458,2973
Alabama,2020-10-31,193613,2967
Alabama,2020-10-30,191932,2932
Alabama,2020-10-29,190113,2914
Alabama,2020-10-28,188775,2911
Alabama,2020-10-27,187267,2892
Alabama,2020-10-26,185938,2866
Alabama,2020-10-25,184723,2866
Alabama,2020-10-24,183831,2866
Alabama,2020-10-23,182567,2859
Alabama,2020-10-22,180437,2843
Alabama,2020-10-21,176605,2828
Alabama,2020-10-20,175210,2805
Alabama,2020-10-19,174078,2789
Alabama,2020-10-18,173002,2788
Alabama,2020-10-17,172137,2788
Alabama,2020-10-16,171157,2786
Alabama,2020-10-15,169845,2756
Alabama,2020-10-14,168620,2706
Alabama,2020-10-13,167396,2665
Alabama,2020-10-12,166514,2665
Alabama,2020-10-11,165414,2664
Alabama,2020-10-10,164698,2664
Alabama,2020-10-09,163897,2653
Alabama,2020-10-08,162683,2637
Alabama,2020-10-07,161085,2601
Alabama,2020-10-06,160485,2580
Alabama,2020-10-05,159476,2559
Alabama,2020-10-04,158717,2558
Alabama,2020-10-03,158181,2558
Alabama,2020-10-02,157402,2550
Alabama,2020-10-01,155727,2548
Alabama,2020-09-30,154772,2540
Alabama,2020-09-29,153584,2517
Alabama,2020-09-28,152350,2501
Alabama,2020-09-27,151604,2501
Alabama,2020-09-26,150965,2501
Alabama,2020-09-25,150239,2491
Alabama,2020-09-24,149263,2506
Alabama,2020-09-23,146897,2488
Alabama,2020-09-22,145859,2457
Alabama,2020-09-21,145202,2439
Alabama,2020-09-20,144325,2437
Alabama,2020-09-19,143578,2437
Alabama,2020-09-18,142768,2428
Alabama,2020-09-17,141454,2401
Alabama,2020-09-16,140423,2392
Alabama,2020-09-15,139660,2387
Alabama,2020-09-14,138619,2355
Alabama,2020-09-13,137861,2351
Alabama,2020-09-12,137166,2350
Alabama,2020-09-11,136107,2333
Alabama,2020-09-10,135138,2301
Alabama,2020-09-09,134061,2285
Alabama,2020-09-08,133005,2277
Alabama,2020-09-07,132221,2276
Alabama,2020-09-06,131690,2276
Alabama,2020-09-05,130914,2275
Alabama,2020-09-04,130373,2266
Alabama,2020-09-03,129225,2233
Alabama,2020-09-02,128240,2217
Alabama,2020-09-01,127234,2200
Alabama,2020-08-31,126500,2182
Alabama,2020-08-30,124944,2162
Alabama,2020-08-29,124155,2152
Alabama,2020-08-28,122879,2107
Alabama,2020-08-27,121041,2076
Alabama,2020-08-26,119904,2045
Alabama,2020-08-25,118190,2037
Alabama,2020-08-24,116045,2024
Alabama,2020-08-23,115485,2013
Alabama,2020-08-22,114809,2011
Alabama,2020-08-21,114212,1996
Alabama,2020-08-20,112737,1974
Alabama,2020-08-19,111696,1944
Alabama,2020-08-18,110415,1936
Alabama,2020-08-17,109092,1925
Alabama,2020-08-16,107667,1898
Alabama,2020-08-15,106926,1896
Alabama,2020-08-14,106096,1893
Alabama,2020-08-13,104976,1890
Alabama,2020-08-12,104219,1882
Alabama,2020-08-11,103485,1847
Alabama,2020-08-10,102391,1797
Alabama,2020-08-09,101466,1768
Alabama,2020-08-08,99854,1755
Alabama,2020-08-07,98895,1735
Alabama,2020-08-06,97044,1714
Alabama,2020-08-05,95323,1695
Alabama,2020-08-04,93457,1666
Alabama,2020-08-03,92502,1633
Alabama,2020-08-02,91458,1627
Alabama,2020-08-01,90299,1603
Alabama,2020-07-31,88266,1580
Alabama,2020-07-30,86664,1565
Alabama,2020-07-29,84652,1538
Alabama,2020-07-28,82698,1491
Alabama,2020-07-27,81256,1491
Alabama,2020-07-26,79948,1473
Alabama,2020-07-25,78188,1456
Alabama,2020-07-24,76795,1438
Alabama,2020-07-23,74685,1397
Alabama,2020-07-22,72594,1364
Alabama,2020-07-21,70600,1303
Alabama,2020-07-20,69236,1291
Alabama,2020-07-19,67733,1287
Alabama,2020-07-18,66181,1286
Alabama,2020-07-17,64152,1265
Alabama,2020-07-16,62128,1230
Alabama,2020-07-15,60194,1211
Alabama,2020-07-14,58284,1164
Alabama,2020-07-13,56168,1124
Alabama,2020-07-12,54781,1121
Alabama,2020-07-11,52802,1114
Alabama,2020-07-10,51329,1104
Alabama,2020-07-09,49695,1068
Alabama,2020-07-08,48149,1058
Alabama,2020-07-07,46348,1033
Alabama,2020-07-06,44932,1007
Alabama,2020-07-05,44022,1007
Alabama,2020-07-04,43216,1007
Alabama,2020-07-03,42255,1006
Alabama,2020-07-02,41340,985
Alabama,2020-07-01,39647,972
Alabama,2020-06-30,38477,950
Alabama,2020-06-29,37589,929
Alabama,2020-06-28,36503,919
Alabama,2020-06-27,35083,919
Alabama,2020-06-26,34903,907
Alabama,2020-06-25,33880,896
Alabama,2020-06-24,32878,891
Alabama,2020-06-23,31889,864
Alabama,2020-06-22,30771,841
Alabama,2020-06-21,30122,839
Alabama,2020-06-20,29683,838
Alabama,2020-06-19,29225,822
Alabama,2020-06-18,28676,810
Alabama,2020-06-17,27941,790
Alabama,2020-06-16,27034,785
Alabama,2020-06-15,26485,774
Alabama,2020-06-14,26182,773
Alabama,2020-06-13,25364,773
Alabama,2020-06-12,24405,769
Alabama,2020-06-11,23370,755
Alabama,2020-06-10,22659,744
Alabama,2020-06-09,21834,729
Alabama,2020-06-08,21268,718
Alabama,2020-06-07,20777,692
Alabama,2020-06-06,20355,689
Alabama,2020-06-05,19910,676
Alabama,2020-06-04,19262,653
Alabama,2020-06-03,18954,653
Alabama,2020-06-02,18734,653
Alabama,2020-06-01,18525,646
Alabama,2020-05-31,18200,630
Alabama,2020-05-30,17689,618
Alabama,2020-05-29,17262,610
Alabama,2020-05-28,16749,591
Alabama,2020-05-27,16263,583
Alabama,2020-05-26,15899,580
Alabama,2020-05-25,15309,566
Alabama,2020-05-24,14676,551
Alabama,2020-05-23,14328,549
Alabama,2020-05-22,13954,541
Alabama,2020-05-21,13590,529
Alabama,2020-05-20,13186,522
Alabama,2020-05-19,12825,504
Alabama,2020-05-18,12438,489
Alabama,2020-05-17,12137,488
Alabama,2020-05-16,11828,485
Alabama,2020-05-15,11494,483
Alabama,2020-05-14,11161,473
Alabama,2020-05-13,10822,450
Alabama,2020-05-12,10566,435
Alabama,2020-05-11,10262,403
Alabama,2020-05-10,9982,393
Alabama,2020-05-09,9720,390
Alabama,2020-05-08,9437,383
Alabama,2020-05-07,9115,369
Alabama,2020-05-06,8769,343
Alabama,2020-05-05,8520,315
Alabama,2020-05-04,8203,298
Alabama,2020-05-03,7977,290
Alabama,2020-05-02,7700,288
Alabama,2020-05-01,7440,289
Alabama,2020-04-30,7187,272
Alabama,2020-04-29,6979,256
Alabama,2020-04-28,6820,242
Alabama,2020-04-27,6621,228
Alabama,2020-04-26,6475,219
Alabama,2020-04-25,6274,209
Alabama,2020-04-24,6092,209
Alabama,2020-04-23,5899,202
Alabama,2020-04-22,5692,196
Alabama,2020-04-21,5404,183
Alabama,2020-04-20,5163,163
Alabama,2020-04-19,4978,157
Alabama,2020-04-18,4788,153
Alabama,2020-04-17,4557,148
Alabama,2020-04-16,4465,133
Alabama,2020-04-15,4307,118
Alabama,2020-04-14,4041,114
Alabama,2020-04-13,3870,99
Alabama,2020-04-12,3667,93
Alabama,2020-04-11,3346,92
Alabama,2020-04-10,3112,80
Alabama,2020-04-09,2954,70
Alabama,2020-04-08,2614,66
Alabama,2020-04-07,2308,64
Alabama,2020-04-06,2079,49
Alabama,2020-04-05,1905,45
Alabama,2020-04-04,1726,44
Alabama,2020-04-03,1606,38
Alabama,2020-04-02,1371,32
Alabama,2020-04-01,1171,27
Alabama,2020-03-31,1063,23
Alabama,2020-03-30,1001,10
Alabama,2020-03-29,880,10
Alabama,2020-03-28,801,4
